eeschema (2013-may-18)-stable  >> Creation date: Fri Feb  6 22:51:43 2015
#Cmp ( order = Reference )
| Q3         IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| Q4         IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| Q5         IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| Q6         IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| Q7         IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| Q8         IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| Q9         IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| Q10        IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| Q11        IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| Q12        IRFS3006                        ; CRF1:D2PAK-7-GDS;             
| R1         33k                             ; SMD_Packages:SMD-0603_r;             
| R2         2k2                             ; SMD_Packages:SMD-0603_r;             
| R3         0R                              ; SMD_Packages:SMD-0603_r;             
| R4         22R                             ; SMD_Packages:SMD-0603_r;             
| R5         22R                             ; SMD_Packages:SMD-0603_r;             
| R6         100R                            ; SMD_Packages:SMD-0603_r;             
| R7         100R                            ; SMD_Packages:SMD-0603_r;             
| R8         2k2                             ; SMD_Packages:SMD-0603_r;             
| R9         2k2                             ; SMD_Packages:SMD-0603_r;             
| R10        SHUNT                           ; CRF1:WSLP2726;             
| R11        SHUNT                           ; CRF1:WSLP2726;             
| R12        SHUNT                           ; CRF1:WSLP2726;             
| R13        SHUNT                           ; CRF1:WSLP2726;             
| R14        4R7                             ; SMD_Packages:SMD-0603_r;             
| R15        4R7                             ; SMD_Packages:SMD-0603_r;             
| R16        33k                             ; SMD_Packages:SMD-0603_r;             
| R17        4R7                             ; SMD_Packages:SMD-0603_r;             
| R18        4R7                             ; SMD_Packages:SMD-0603_r;             
| R19        33k                             ; SMD_Packages:SMD-0603_r;             
| R20        4R7                             ; SMD_Packages:SMD-0603_r;             
| R21        4R7                             ; SMD_Packages:SMD-0603_r;             
| R22        33k                             ; SMD_Packages:SMD-0603_r;             
| R23        NTC 10k                         ; SMD_Packages:SMD-0603_r;             
| R24        10k                             ; SMD_Packages:SMD-0603_r;             
| R25        NI                              ; SMD_Packages:SMD-0603_r;             
| R26        10k                             ; SMD_Packages:SMD-0603_r;             
| R27        10k                             ; SMD_Packages:SMD-0603_r;             
| R28        2k2                             ; SMD_Packages:SMD-0603_r;             
| R29        2k2                             ; SMD_Packages:SMD-0603_r;             
| R30        2k2                             ; SMD_Packages:SMD-0603_r;             
| R31        10k                             ; SMD_Packages:SMD-0603_r;             
| R32        10k                             ; SMD_Packages:SMD-0603_r;             
| R33        10k                             ; SMD_Packages:SMD-0603_r;             
| R34        330k                            ; SMD_Packages:SMD-0603_r;             
| R35        10k                             ; SMD_Packages:SMD-0603_r;             
| R36        18k                             ; SMD_Packages:SMD-0603_r;             
| R37        3k3                             ; SMD_Packages:SMD-0603_r;             
| R38        10k                             ; SMD_Packages:SMD-0603_r;             
| R39        15k                             ; SMD_Packages:SMD-0603_r;             
| R40        220k                            ; SMD_Packages:SMD-0603_r;             
| R41        1M                              ; SMD_Packages:SMD-0603_r;             
| R42        100R                            ; SMD_Packages:SMD-0603_r;             
| R43        100R                            ; SMD_Packages:SMD-0603_r;             
| R44        100R                            ; SMD_Packages:SMD-0603_r;             
| R45        100R                            ; SMD_Packages:SMD-0603_r;             
| R46        33k                             ; SMD_Packages:SMD-0603_r;             
| R47        2k2                             ; SMD_Packages:SMD-0603_r;             
| R48        33k                             ; SMD_Packages:SMD-0603_r;             
| R49        2k2                             ; SMD_Packages:SMD-0603_r;             
| R50        33k                             ; SMD_Packages:SMD-0603_r;             
| R51        2k2                             ; SMD_Packages:SMD-0603_r;             
| R52        10k                             ; SMD_Packages:SMD-0603_r;             
| R53        2k2                             ; SMD_Packages:SMD-0603_r;             
| R54        2k2                             ; SMD_Packages:SMD-0603_r;             
| R55        2k2                             ; SMD_Packages:SMD-0603_r;             
| R56        10k                             ; SMD_Packages:SMD-0603_r;             
| R57        10k                             ; SMD_Packages:SMD-0603_r;             
| R58        10k                             ; SMD_Packages:SMD-0603_r;             
| R59        4R7                             ; SMD_Packages:SMD-0603_r;             
| R60        4R7                             ; SMD_Packages:SMD-0603_r;             
| R61        33k                             ; SMD_Packages:SMD-0603_r;             
| R62        4R7                             ; SMD_Packages:SMD-0603_r;             
| R63        4R7                             ; SMD_Packages:SMD-0603_r;             
| R64        33k                             ; SMD_Packages:SMD-0603_r;             
| R65        4R7                             ; SMD_Packages:SMD-0603_r;             
| R66        4R7                             ; SMD_Packages:SMD-0603_r;             
| R67        33k                             ; SMD_Packages:SMD-0603_r;             
| R68        330k                            ; SMD_Packages:SMD-0603_r;             
| R69        10k                             ; SMD_Packages:SMD-0603_r;             
| R70        18k                             ; SMD_Packages:SMD-0603_r;             
| R71        3k3                             ; SMD_Packages:SMD-0603_r;             
| R72        10k                             ; SMD_Packages:SMD-0603_r;             
| R73        15k                             ; SMD_Packages:SMD-0603_r;             
| R74        220k                            ; SMD_Packages:SMD-0603_r;             
| R75        1M                              ; SMD_Packages:SMD-0603_r;             
| R76        100R                            ; SMD_Packages:SMD-0603_r;             
| R77        100R                            ; SMD_Packages:SMD-0603_r;             
| R78        100R                            ; SMD_Packages:SMD-0603_r;             
| R79        100R                            ; SMD_Packages:SMD-0603_r;             
| R80        33k                             ; SMD_Packages:SMD-0603_r;             
| R81        2k2                             ; SMD_Packages:SMD-0603_r;             
| R82        33k                             ; SMD_Packages:SMD-0603_r;             
| R83        2k2                             ; SMD_Packages:SMD-0603_r;             
| R84        33k                             ; SMD_Packages:SMD-0603_r;             
| R85        2k2                             ; SMD_Packages:SMD-0603_r;             
| R86        33k                             ; SMD_Packages:SMD-0603_r;             
| R87        2k2                             ; SMD_Packages:SMD-0603_r;             
| R88        33k                             ; SMD_Packages:SMD-0603_r;             
| R89        2k2                             ; SMD_Packages:SMD-0603_r;             
| R90        33k                             ; SMD_Packages:SMD-0603_r;             
| R91        2k2                             ; SMD_Packages:SMD-0603_r;             
| R92        33k                             ; SMD_Packages:SMD-0603_r;             
| R93        2k2                             ; SMD_Packages:SMD-0603_r;             
| R94        33k                             ; SMD_Packages:SMD-0603_r;             
| R95        2k2                             ; SMD_Packages:SMD-0603_r;             
| R96        33k                             ; SMD_Packages:SMD-0603_r;             
| R97        2k2                             ; SMD_Packages:SMD-0603_r;             
| R98        33k                             ; SMD_Packages:SMD-0603_r;             
| R99        2k2                             ; SMD_Packages:SMD-0603_r;             
| R100       33k                             ; SMD_Packages:SMD-0603_r;             
| R101       2k2                             ; SMD_Packages:SMD-0603_r;             
| R102       33k                             ; SMD_Packages:SMD-0603_r;             
| R103       2k2                             ; SMD_Packages:SMD-0603_r;             
| R104       33k                             ; SMD_Packages:SMD-0603_r;             
| R105       2k2                             ; SMD_Packages:SMD-0603_r;             
| R106       33k                             ; SMD_Packages:SMD-0603_r;             
| R107       2k2                             ; SMD_Packages:SMD-0603_r;             
| R108       33k                             ; SMD_Packages:SMD-0603_r;             
| R109       2k2                             ; SMD_Packages:SMD-0603_r;             
| U1         SN65HVD232                      ; SMD_Packages:SOIC-8-W;             
| U2         DRV8302                         ; CRF1:TSSOP-56-PP;             
| U3         NCP1117ST33T3G                    ; SMD_Packages:SOT-223;             
| U4         STM32F40X_LQFP144~                   ; ~           ; ~           
| U5         DRV8302                         ; CRF1:TSSOP-56-PP;             
| U6         NCP1117ST33T3G                    ; SMD_Packages:SOT-223;             
| X1         MINI-USB-SHIELD-32005-201                    ; CRF1:con-cypressindustries-32005-201;             
| X2         8MHz 10ppm                      ; CRF1:Crystal_5x3mm;             
#End Cmp

#Cmp ( order = Value )
| 15p          C40       ; SMD_Packages:SMD-0603_c;             
| 15p          C46       ; SMD_Packages:SMD-0603_c;             
| 120p         C10       ; SMD_Packages:SMD-0603_c;             
| 120p         C53       ; SMD_Packages:SMD-0603_c;             
| 2.2n         C24       ; SMD_Packages:SMD-0603_c;             
| 2.2n         C67       ; SMD_Packages:SMD-0603_c;             
| 2.2n         C25       ; SMD_Packages:SMD-0603_c;             
| 2.2n         C68       ; SMD_Packages:SMD-0603_c;             
| 4n7          C5        ; SMD_Packages:SMD-0603_c;             
| 4n7          C36       ; SMD_Packages:SMD-0603_c;             
| 4n7          C6        ; SMD_Packages:SMD-0603_c;             
| 4n7          C37       ; SMD_Packages:SMD-0603_c;             
| 4n7          C7        ; SMD_Packages:SMD-0603_c;             
| 4n7          C38       ; SMD_Packages:SMD-0603_c;             
| 4n7          C8        ; SMD_Packages:SMD-0603_c;             
| 4n7          C39       ; SMD_Packages:SMD-0603_c;             
| 6.8n         C13       ; SMD_Packages:SMD-0603_c;             
| 6.8n         C56       ; SMD_Packages:SMD-0603_c;             
| 15n          C19       ; SMD_Packages:SMD-0603_c;             
| 15n          C62       ; SMD_Packages:SMD-0603_c;             
| 22n          C14       ; SMD_Packages:SMD-0603_c;             
| 22n          C57       ; SMD_Packages:SMD-0603_c;             
| 100n         C1        ; SMD_Packages:SMD-0603_c;             
| 100n         C2        ; SMD_Packages:SMD-0603_c;             
| 100n         C20       ; SMD_Packages:SMD-0603_c;             
| 100n         C63       ; SMD_Packages:SMD-0603_c;             
| 100n         C44       ; SMD_Packages:SMD-0603_c;             
| 220n         C21       ; SMD_Packages:SMD-0805;             
| 220n         C64       ; SMD_Packages:SMD-0805;             
| 220n         C22       ; SMD_Packages:SMD-0805;             
| 220n         C65       ; SMD_Packages:SMD-0805;             
| 220n         C23       ; SMD_Packages:SMD-0805;             
| 220n         C66       ; SMD_Packages:SMD-0805;             
| 2.2u         C4        ; SMD_Packages:SMD-0402;             
| 2.2u         C3        ; SMD_Packages:SMD-0603_c;             
| 2.2u         C11       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C54       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C12       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C55       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C26       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C69       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C41       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C42       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C43       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C45       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C47       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C48       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C49       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C50       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C51       ; SMD_Packages:SMD-0603_c;             
| 2.2u         C9        ; SMD_Packages:SMD-0805;             
| 2.2u         C52       ; SMD_Packages:SMD-0805;             
| 2.2u         C15       ; SMD_Packages:SMD-0805;             
| 2.2u         C58       ; SMD_Packages:SMD-0805;             
| 10u,50V      C16       ; SMD_Packages:SMD-1206;             
| 10u,50V      C59       ; SMD_Packages:SMD-1206;             
| 10u,50V      C17       ; SMD_Packages:SMD-1206;             
| 10u,50V      C60       ; SMD_Packages:SMD-1206;             
| 10u,50V      C18       ; SMD_Packages:SMD-1206;             
| 10u,50V      C61       ; SMD_Packages:SMD-1206;             
| 10u,50V      C28       ; SMD_Packages:SMD-1206;             
| 10u,50V      C71       ; SMD_Packages:SMD-1206;             
| 10u,50V      C30       ; SMD_Packages:SMD-1206;             
| 10u,50V      C73       ; SMD_Packages:SMD-1206;             
| 10u,50V      C31       ; SMD_Packages:SMD-1206;             
| 10u,50V      C74       ; SMD_Packages:SMD-1206;             
| 10u,50V      C32       ; SMD_Packages:SMD-1206;             
| 10u,50V      C75       ; SMD_Packages:SMD-1206;             
| 10u,50V      C34       ; SMD_Packages:SMD-1206;             
| 10u,50V      C77       ; SMD_Packages:SMD-1206;             
| 15u, 100v    C33       ; w_smd_cap:c_2220;             
| 15u, 100v    C76       ; w_smd_cap:c_2220;             
| 15u,100V     C35       ; w_smd_cap:c_2220;             
| 15u,100V     C78       ; w_smd_cap:c_2220;             
| 100u         C27       ; w_smd_cap:c_tant_B;             
| 100u         C70       ; w_smd_cap:c_tant_B;             
| 100u         C29       ; w_smd_cap:c_tant_B;             
| 100u         C72       ; w_smd_cap:c_tant_B;             
| DIODESCH     D4        ; Diodes_SMD:Diode-SMA_Handsoldering;             
| DIODESCH     D6        ; Diodes_SMD:Diode-SMA_Handsoldering;             
| RED          D1        ; LEDs:LED-0603;             
| GREEN        D2        ; LEDs:LED-0603;             
| LED          D3        ; LEDs:LED-0603;             
| TVS 5V       D5        ; w_smd_diode:do214ac;             
| TVS 5V       D7        ; w_smd_diode:do214ac;             
| SERVO        K1        ; CRF1:pinhead-1X03;             
| 22u          L1        ; w_smd_inductors:inductor_smd_8x5mm;             
| 22u          L2        ; w_smd_inductors:inductor_smd_8x5mm;             
| IN+          P5        ; CRF1:1PAD_4x5mm;             
| IN-          P6        ; CRF1:1PAD_4x5mm;             
| MOTOR3       P7        ; CRF1:1PAD_4x5mm;             
| MOTOR2       P8        ; CRF1:1PAD_4x5mm;             
| MOTOR1       P9        ; CRF1:1PAD_4x5mm;             
| MOTOR3       P10       ; CRF1:1PAD_4x5mm;             
| MOTOR2       P11       ; CRF1:1PAD_4x5mm;             
| MOTOR1       P12       ; CRF1:1PAD_4x5mm;             
| HALL/Encoder P2        ; CRF1:MICRO_JST_6;             
| HALL/Encoder P3        ; CRF1:MICRO_JST_6;             
| PWR_COMM     P4        ; CRF1:MICRO_JST_6;             
| SWD          P13       ; CRF1:MICRO_JST_6;             
| CANBUS       P1        ; CRF1:pinhead-1X03;             
| IRFS3006     Q1        ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q7        ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q2        ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q8        ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q3        ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q9        ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q4        ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q10       ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q5        ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q11       ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q6        ; CRF1:D2PAK-7-GDS;             
| IRFS3006     Q12       ; CRF1:D2PAK-7-GDS;             
| 0R           R3        ; SMD_Packages:SMD-0603_r;             
| 4R7          R14       ; SMD_Packages:SMD-0603_r;             
| 4R7          R59       ; SMD_Packages:SMD-0603_r;             
| 4R7          R15       ; SMD_Packages:SMD-0603_r;             
| 4R7          R60       ; SMD_Packages:SMD-0603_r;             
| 4R7          R17       ; SMD_Packages:SMD-0603_r;             
| 4R7          R62       ; SMD_Packages:SMD-0603_r;             
| 4R7          R18       ; SMD_Packages:SMD-0603_r;             
| 4R7          R63       ; SMD_Packages:SMD-0603_r;             
| 4R7          R20       ; SMD_Packages:SMD-0603_r;             
| 4R7          R65       ; SMD_Packages:SMD-0603_r;             
| 4R7          R21       ; SMD_Packages:SMD-0603_r;             
| 4R7          R66       ; SMD_Packages:SMD-0603_r;             
| 22R          R4        ; SMD_Packages:SMD-0603_r;             
| 22R          R5        ; SMD_Packages:SMD-0603_r;             
| 100R         R6        ; SMD_Packages:SMD-0603_r;             
| 100R         R7        ; SMD_Packages:SMD-0603_r;             
| 100R         R42       ; SMD_Packages:SMD-0603_r;             
| 100R         R76       ; SMD_Packages:SMD-0603_r;             
| 100R         R43       ; SMD_Packages:SMD-0603_r;             
| 100R         R77       ; SMD_Packages:SMD-0603_r;             
| 100R         R44       ; SMD_Packages:SMD-0603_r;             
| 100R         R78       ; SMD_Packages:SMD-0603_r;             
| 100R         R45       ; SMD_Packages:SMD-0603_r;             
| 100R         R79       ; SMD_Packages:SMD-0603_r;             
| 2k2          R2        ; SMD_Packages:SMD-0603_r;             
| 2k2          R8        ; SMD_Packages:SMD-0603_r;             
| 2k2          R9        ; SMD_Packages:SMD-0603_r;             
| 2k2          R28       ; SMD_Packages:SMD-0603_r;             
| 2k2          R53       ; SMD_Packages:SMD-0603_r;             
| 2k2          R29       ; SMD_Packages:SMD-0603_r;             
| 2k2          R54       ; SMD_Packages:SMD-0603_r;             
| 2k2          R30       ; SMD_Packages:SMD-0603_r;             
| 2k2          R55       ; SMD_Packages:SMD-0603_r;             
| 2k2          R47       ; SMD_Packages:SMD-0603_r;             
| 2k2          R81       ; SMD_Packages:SMD-0603_r;             
| 2k2          R49       ; SMD_Packages:SMD-0603_r;             
| 2k2          R83       ; SMD_Packages:SMD-0603_r;             
| 2k2          R51       ; SMD_Packages:SMD-0603_r;             
| 2k2          R85       ; SMD_Packages:SMD-0603_r;             
| 2k2          R87       ; SMD_Packages:SMD-0603_r;             
| 2k2          R99       ; SMD_Packages:SMD-0603_r;             
| 2k2          R89       ; SMD_Packages:SMD-0603_r;             
| 2k2          R101      ; SMD_Packages:SMD-0603_r;             
| 2k2          R91       ; SMD_Packages:SMD-0603_r;             
| 2k2          R103      ; SMD_Packages:SMD-0603_r;             
| 2k2          R93       ; SMD_Packages:SMD-0603_r;             
| 2k2          R105      ; SMD_Packages:SMD-0603_r;             
| 2k2          R95       ; SMD_Packages:SMD-0603_r;             
| 2k2          R107      ; SMD_Packages:SMD-0603_r;             
| 2k2          R97       ; SMD_Packages:SMD-0603_r;             
| 3k3          R37       ; SMD_Packages:SMD-0603_r;             
| 10k          R24       ; SMD_Packages:SMD-0603_r;             
| 10k          R27       ; SMD_Packages:SMD-0603_r;             
| IN+          P?        ; CRF1:1PAD_4x5mm;             
| 2k2          R109      ; SMD_Packages:SMD-0603_r;             
| 3k3          R71       ; SMD_Packages:SMD-0603_r;             
| 10k          R26       ; SMD_Packages:SMD-0603_r;             
| 10k          R52       ; SMD_Packages:SMD-0603_r;             
| 10k          R31       ; SMD_Packages:SMD-0603_r;             
| 10k          R56       ; SMD_Packages:SMD-0603_r;             
| 10k          R32       ; SMD_Packages:SMD-0603_r;             
| 10k          R57       ; SMD_Packages:SMD-0603_r;             
| 10k          R33       ; SMD_Packages:SMD-0603_r;             
| 10k          R58       ; SMD_Packages:SMD-0603_r;             
| 10k          R35       ; SMD_Packages:SMD-0603_r;             
| 10k          R69       ; SMD_Packages:SMD-0603_r;             
| 10k          R38       ; SMD_Packages:SMD-0603_r;             
| 10k          R72       ; SMD_Packages:SMD-0603_r;             
